exit_reason,count,total_pnl,avg_pnl,avg_hold_bars
SL,9,-72.5,-8.055555555555555,9.777777777777779
TP,7,66.29999999999995,9.471428571428564,17.142857142857142
TO,5,6.2999999999999545,1.259999999999991,60.0
SESSION_END,4,-2.3500000000001364,-0.5875000000000341,26.5
WEAK_REVERSAL,2,11.199999999999932,5.599999999999966,17.5
