exit_reason,count,total_pnl,avg_pnl,avg_hold_bars
TP,6,60.799999999999955,10.133333333333326,19.833333333333332
TO,5,6.2999999999999545,1.259999999999991,60.0
SL,5,-39.0,-7.8,8.6
SESSION_END,4,-2.3500000000001364,-0.5875000000000341,26.5
WEAK_REVERSAL,2,11.199999999999932,5.599999999999966,17.5
