symbol,trades,total_pnl,avg_pnl,avg_hold_bars,win_rate
9501.0,6,32.5,5.416666666666667,41.5,0.8333333333333334
3350.0,17,23.0,1.3529411764705883,28.58823529411765,0.47058823529411764
215A,9,21.0,2.3333333333333335,33.44444444444444,0.5555555555555556
6526.0,6,12.75,2.125,3.6666666666666665,0.5
9509.0,3,7.5,2.5,30.666666666666668,0.6666666666666666
5016.0,5,-17.75,-3.55,4.4,0.2
